"table_schema","table_name","ordinal_position","column_name","data_type","udt_schema","udt_name","is_nullable","column_default","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_identity","identity_generation","is_generated","generation_expression"
"public","installments",2,"tenant_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","installments",3,"contract_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","installments",4,"installment_number","integer","pg_catalog","int4","NO",,,32,0,,"NO",,"NEVER",
"public","installments",5,"amount_sar","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","installments",6,"due_date","date","pg_catalog","date","NO",,,,,0,"NO",,"NEVER",
"public","installments",7,"payment_status","text","pg_catalog","text","NO","'Pending'::text",,,,,"NO",,"NEVER",
"public","installments",8,"secure_payment_token","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","installments",9,"created_at","timestamp with time zone","pg_catalog","timestamptz","NO","CURRENT_TIMESTAMP",,,,6,"NO",,"NEVER",
"public","installments",10,"vat_amount","numeric","pg_catalog","numeric","YES",,,12,2,,"NO",,"NEVER",
"public","installments",11,"invoice_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","installments",12,"payment_plan_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","invoices",1,"id","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","invoices",2,"tenant_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","invoices",3,"lease_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","invoices",4,"invoice_number","integer","pg_catalog","int4","NO",,,32,0,,"NO",,"NEVER",
"public","invoices",5,"invoice_prefix","character varying","pg_catalog","varchar","NO","'INV'::character varying",20,,,,"NO",,"NEVER",
"public","invoices",6,"zatca_uuid","uuid","pg_catalog","uuid","YES","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","invoices",7,"issue_date","date","pg_catalog","date","YES","CURRENT_DATE",,,,0,"NO",,"NEVER",
"public","invoices",8,"due_date","date","pg_catalog","date","NO",,,,,0,"NO",,"NEVER",
"public","invoices",9,"subtotal","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","invoices",10,"vat_rate","numeric","pg_catalog","numeric","YES","15.00",,5,2,,"NO",,"NEVER",
"public","invoices",11,"vat_amount","numeric","pg_catalog","numeric","NO","0",,12,2,,"NO",,"NEVER",
"public","invoices",12,"total_amount","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","invoices",13,"qr_payload","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",14,"qr_code","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",15,"qr_image","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",16,"zatca_xml","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",17,"zatca_signed_xml","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",18,"zatca_status","character varying","pg_catalog","varchar","YES","'DRAFT'::character varying",20,,,,"NO",,"NEVER",
"public","invoices",19,"status","character varying","pg_catalog","varchar","YES","'unpaid'::character varying",20,,,,"NO",,"NEVER",
"public","invoices",20,"paid_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","invoices",21,"payment_method","character varying","pg_catalog","varchar","YES",,50,,,,"NO",,"NEVER",
"public","invoices",22,"payment_ref","character varying","pg_catalog","varchar","YES",,100,,,,"NO",,"NEVER",
"public","invoices",23,"created_at","timestamp with time zone","pg_catalog","timestamptz","YES","now()",,,,6,"NO",,"NEVER",
"public","invoices",24,"invoice_type_code","character varying","pg_catalog","varchar","YES","'388'::character varying",10,,,,"NO",,"NEVER",
"public","invoices",25,"previous_invoice_hash","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",26,"zatca_response","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",27,"zatca_error","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",28,"zatca_cleared_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","invoices",29,"updated_at","timestamp with time zone","pg_catalog","timestamptz","YES","now()",,,,6,"NO",,"NEVER",
"public","invoices",30,"gateway_provider","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",31,"gateway_status","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",32,"payment_url","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","invoices",35,"type","USER-DEFINED","public","InvoiceType","NO","'RENTAL'::""InvoiceType""",,,,,"NO",,"NEVER",
"public","invoices",36,"contract_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",1,"id","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","payment_transactions",2,"tenant_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","payment_transactions",3,"invoice_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",4,"installment_id","uuid","pg_catalog","uuid","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",5,"amount","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","payment_transactions",6,"fee","numeric","pg_catalog","numeric","NO","0",,12,2,,"NO",,"NEVER",
"public","payment_transactions",8,"currency","text","pg_catalog","text","NO","'SAR'::text",,,,,"NO",,"NEVER",
"public","payment_transactions",9,"method","text","pg_catalog","text","NO",,,,,,"NO",,"NEVER",
"public","payment_transactions",10,"status","text","pg_catalog","text","NO","'PENDING'::text",,,,,"NO",,"NEVER",
"public","payment_transactions",11,"gateway_ref","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",12,"gateway_response","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",13,"paid_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","payment_transactions",14,"provider","text","pg_catalog","text","NO","'MANUAL'::text",,,,,"NO",,"NEVER",
"public","payment_transactions",15,"provider_transaction_id","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",16,"provider_invoice_id","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",17,"provider_reference","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",18,"payment_url","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",19,"gateway_status","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",20,"raw_payload","jsonb","pg_catalog","jsonb","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",21,"webhook_received_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","payment_transactions",22,"failure_reason","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",23,"idempotency_key","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",24,"created_at","timestamp with time zone","pg_catalog","timestamptz","NO","now()",,,,6,"NO",,"NEVER",
"public","payment_transactions",25,"netAmount","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","payment_transactions",26,"plan_code","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","payment_transactions",27,"processed_at","timestamp with time zone","pg_catalog","timestamptz","YES",,,,,6,"NO",,"NEVER",
"public","payment_transactions",28,"expected_amount_minor","integer","pg_catalog","int4","NO","0",,32,0,,"NO",,"NEVER",
"public","payment_transactions",29,"expected_currency","text","pg_catalog","text","NO","'SAR'::text",,,,,"NO",,"NEVER",
"public","payment_transactions",30,"last_error","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",1,"id","uuid","pg_catalog","uuid","NO","gen_random_uuid()",,,,,"NO",,"NEVER",
"public","units",2,"tenant_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","units",3,"project_id","uuid","pg_catalog","uuid","NO",,,,,,"NO",,"NEVER",
"public","units",4,"unit_number","text","pg_catalog","text","NO",,,,,,"NO",,"NEVER",
"public","units",5,"floor_position","integer","pg_catalog","int4","NO",,,32,0,,"NO",,"NEVER",
"public","units",6,"price_sar","numeric","pg_catalog","numeric","NO",,,12,2,,"NO",,"NEVER",
"public","units",7,"type","text","pg_catalog","text","YES","'شقة سكنية'::text",,,,,"NO",,"NEVER",
"public","units",8,"area","text","pg_catalog","text","YES","'120 م²'::text",,,,,"NO",,"NEVER",
"public","units",9,"beds","integer","pg_catalog","int4","YES",,,32,0,,"NO",,"NEVER",
"public","units",10,"city","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",11,"district","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",12,"lat","double precision","pg_catalog","float8","YES",,,53,,,"NO",,"NEVER",
"public","units",13,"lng","double precision","pg_catalog","float8","YES",,,53,,,"NO",,"NEVER",
"public","units",14,"agent_name","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",15,"description","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",16,"media","jsonb","pg_catalog","jsonb","YES","'[]'::jsonb",,,,,"NO",,"NEVER",
"public","units",17,"docs","jsonb","pg_catalog","jsonb","YES","'[]'::jsonb",,,,,"NO",,"NEVER",
"public","units",18,"events","jsonb","pg_catalog","jsonb","YES","'[]'::jsonb",,,,,"NO",,"NEVER",
"public","units",19,"handovers","jsonb","pg_catalog","jsonb","YES","'[]'::jsonb",,,,,"NO",,"NEVER",
"public","units",20,"tour_type","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",21,"tour_url","text","pg_catalog","text","YES",,,,,,"NO",,"NEVER",
"public","units",22,"status","text","pg_catalog","text","NO","'Available'::text",,,,,"NO",,"NEVER",
"public","units",23,"created_at","timestamp with time zone","pg_catalog","timestamptz","NO","CURRENT_TIMESTAMP",,,,6,"NO",,"NEVER",
"public","units",24,"updated_at","timestamp with time zone","pg_catalog","timestamptz","NO","CURRENT_TIMESTAMP",,,,6,"NO",,"NEVER",
